project_name,category,priority,preparing_start,preparing_end,execution_end,progress_percent,description,team_lead,preparing_status,execution_status
Strategic Planning 2024,Research & Analysis,Medium,2025-08-07,2025-08-24,2025-10-13,18,Innovative research & analysis solution designed to address key business requirements.,Research Team,normal,normal
Content Marketing Q4,Marketing Campaign,Medium,2025-08-07,2025-08-14,2025-09-05,100,Critical marketing campaign effort to modernize infrastructure and streamline processes.,Social Media Team,normal,normal
Influencer Partnership Premium,Marketing Campaign,Medium,2025-08-09,2025-08-18,2025-10-05,34,Innovative marketing campaign solution designed to address key business requirements.,Marketing Team,normal,normal
Influencer Partnership Starter,Marketing Campaign,Medium,2025-08-10,2025-08-22,2025-10-08,33,Cross-functional marketing campaign project aimed at enhancing system capabilities and performance.,Marketing Team,normal,normal
Go-to-Market Aggressive,Product Launch,High,2025-08-11,2025-09-06,2025-12-13,5,Innovative product launch solution designed to address key business requirements.,Sales Team,normal,normal
Strategic Planning Strategic,Research & Analysis,Low,2025-08-13,2025-08-30,2025-10-05,34,Strategic research & analysis initiative focused on improving operational efficiency and user experience.,Research Team,normal,normal
User Behavior Analysis,Research & Analysis,Low,2025-08-17,2025-09-03,2025-11-10,5,Innovative research & analysis solution designed to address key business requirements.,Strategy Team,normal,normal
User Authentication V2 1,Software Development,Critical,2025-08-18,2025-09-02,2025-10-29,5,Innovative software development solution designed to address key business requirements.,QA Team,normal,normal
CI/CD Pipeline V2,Infrastructure,High,2025-08-24,2025-09-03,2025-09-20,19,Cross-functional infrastructure project aimed at enhancing system capabilities and performance.,Platform Team,normal,normal
Docker Integration,Software Development,High,2025-08-25,2025-09-05,2025-11-25,5,Comprehensive software development project targeting scalability and reliability improvements.,Mobile Team,normal,normal
Beta Testing Engine,Product Launch,Critical,2025-08-28,2025-09-14,2026-01-09,0,Critical product launch effort to modernize infrastructure and streamline processes.,Engineering Team,warning,warning
Database Scaling Hybrid,Infrastructure,Critical,2025-09-01,2025-09-10,2025-10-11,0,Critical infrastructure effort to modernize infrastructure and streamline processes.,DevOps Team,normal,normal
Kubernetes Integration,Software Development,Medium,2025-09-02,2025-09-17,2025-10-07,0,Critical software development effort to modernize infrastructure and streamline processes.,Backend Team,normal,warning
User Authentication V2,Software Development,Medium,2025-09-03,2025-09-16,2025-11-25,0,Critical software development effort to modernize infrastructure and streamline processes.,QA Team,warning,normal
Database Migration 3.8,Software Development,Medium,2025-09-04,2025-09-21,2025-12-12,0,Cross-functional software development project aimed at enhancing system capabilities and performance.,Frontend Team,normal,normal
Performance Optimization API,Software Development,Critical,2025-09-06,2025-09-22,2025-12-04,0,Critical software development effort to modernize infrastructure and streamline processes.,DevOps Team,normal,critical
Microservice Network Development,Software Development,Critical,2025-09-07,2025-09-28,2025-11-02,0,Strategic software development initiative focused on improving operational efficiency and user experience.,Backend Team,normal,warning
Security System Update,Software Development,High,2025-09-07,2025-09-20,2025-10-09,0,Innovative software development solution designed to address key business requirements.,DevOps Team,normal,normal
Product Roadmap Q1,Product Launch,High,2025-09-07,2025-09-29,2025-12-16,0,Strategic product launch initiative focused on improving operational efficiency and user experience.,Engineering Team,warning,normal
Trend Analysis Manufacturing,Research & Analysis,Medium,2025-09-18,2025-09-28,2025-11-19,0,Strategic research & analysis initiative focused on improving operational efficiency and user experience.,Research Team,warning,normal
Global Expansion,Product Launch,High,2025-09-20,2025-10-06,2025-12-25,0,Strategic product launch initiative focused on improving operational efficiency and user experience.,Sales Team,normal,warning
Performance Analytics Insights,Research & Analysis,Low,2025-09-23,2025-09-30,2025-12-17,0,Cross-functional research & analysis project aimed at enhancing system capabilities and performance.,Analytics Team,normal,normal
ROI Assessment Program,Research & Analysis,Low,2025-09-24,2025-10-02,2025-11-21,0,Cross-functional research & analysis project aimed at enhancing system capabilities and performance.,Research Team,normal,normal
AWS Integration,Software Development,Medium,2025-09-26,2025-10-09,2025-11-03,0,Strategic software development initiative focused on improving operational efficiency and user experience.,DevOps Team,normal,normal
User Behavior Investigation,Research & Analysis,Medium,2025-10-04,2025-10-16,2025-12-23,0,Innovative research & analysis solution designed to address key business requirements.,Research Team,normal,normal
